Make,Model,Year,Price,BodyStyle,Trim,FuelType,CityMPG,HighwayMPG,Drivetrain,Transmission,Engine,Link
Cheverolet,Express 2500,2016,31000,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/674397051/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121818/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121817/overview/
Cheverolet,Express 2500,2015,32105,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121815/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121814/overview/
Cheverolet,Express 2500,2015,,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121835/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764455114/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764455666/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764453865/overview/
Cheverolet,Express 3500,2019,37930,CargoVan,Work Van,Gasoline,,,RWD,Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/761688152/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764454031/overview/
Cheverolet,Express 3500,2018,37860,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/751306538/overview/
Cheverolet,Express 3500,2018,34420,CargoVan,Work Van,E85 Flex Fuel,,,RWD,6-Speed Automatic,6.0L 8-Cylinder Flex Fuel,http://cars.com/vehicledetail/detail/765800826/overview/
Cheverolet,Express 3500,2018,37146,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/751654391/overview/
Cheverolet,Express 3500,2018,34165,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/753591856/overview/
Cheverolet,Express 3500,2018,37146,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/751654366/overview/
Cheverolet,Express 3500,2017,35866,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/688581156/overview/
Cheverolet,Express 3500,2017,32789,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/734959354/overview/
Cheverolet,Express 3500,2017,30800,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/722686047/overview/
Cheverolet,Express 3500,2016,27987,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/730536710/overview/
Cheverolet,Express 3500,2016,27987,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/730536706/overview/
Cheverolet,Express 3500,2016,27987,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/730550629/overview/
Cheverolet,Express 3500,2016,27987,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/730550403/overview/
Cheverolet,Express 3500,2015,34422,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/701369980/overview/
Cheverolet,Unknown,2019,34787,CargoVan,RWD 3500 155\,E85 Flex Fuel,,,RWD,automatic,L96,http://cars.com/vehicledetail/detail/761287588/overview/
Ford,Transit Connect,2019,24216,CargoVan,XL,Gasoline,,,FWD,8-Speed Automatic,I4,http://cars.com/vehicledetail/detail/757561314/overview/
Ford,Transit Connect,2019,25193,CargoVan,XL,Gasoline,,,FWD,Automatic,2.0L I4 16V GDI DOHC,http://cars.com/vehicledetail/detail/766606819/overview/
Ford,Transit Connect,2019,22686,CargoVan,XL,Gasoline,,,FWD,8-Speed Automatic,2.0L I4 16V GDI DOHC,http://cars.com/vehicledetail/detail/760368740/overview/
Ford,Transit Connect,2019,25590,CargoVan,XL,Gasoline,,,FWD,8-Speed Automatic,2.0L I4 16V GDI DOHC,http://cars.com/vehicledetail/detail/749912025/overview/
Ford,Transit Connect,2019,24313,CargoVan,XL,Gasoline,,,FWD,8-Speed Automatic w/OD,Regular Unleaded I-4 2.0 L/122,http://cars.com/vehicledetail/detail/764089001/overview/
Ford,Transit Connect,2018,22287,CargoVan,XL,Gasoline,20,27,Front-wheel Drive,6-Speed Shiftable Automatic,I-4 cyl,http://cars.com/vehicledetail/detail/740519299/overview/
Ford,Transit Connect,2018,24928,CargoVan,XL,E85 Flex Fuel,20,27,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/719358747/overview/
Ford,Transit Connect,2018,27155,CargoVan,XLT,E85 Flex Fuel,20,27,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/738170265/overview/
Ford,Transit Connect,2018,25568,CargoVan,XL,E85 Flex Fuel,20,27,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/729391348/overview/
Ford,Transit Connect,2018,22415,CargoVan,XLT,Gasoline,20,27,FWD,6-Speed Automatic w/OD,Regular Unleaded I-4 2.5 L/152,http://cars.com/vehicledetail/detail/758765844/overview/
Ford,Transit Connect,2017,26984,CargoVan,XLT,E85 Flex Fuel,20,27,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/697875950/overview/
Ford,Transit Connect,2016,22980,CargoVan,XL,E85 Flex Fuel,20,28,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/671582651/overview/
Ford,Transit Connect,2016,21158,CargoVan,XL,E85 Flex Fuel,20,28,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/714288589/overview/
Ford,Transit Connect,2016,23288,CargoVan,XL,E85 Flex Fuel,20,28,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/671582746/overview/
Ford,Transit Connect,2016,22938,CargoVan,XL,E85 Flex Fuel,20,28,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/664429449/overview/
Ford,Transit Connect,2016,21147,CargoVan,XL,E85 Flex Fuel,20,28,FWD,6-Speed Automatic,2.5L I4 16V MPFI DOHC Flexible Fuel,http://cars.com/vehicledetail/detail/714288470/overview/
Ford,Transit-150,2019,34530,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic w/OD,Flexible V-6 3.7 L/228,http://cars.com/vehicledetail/detail/751075628/overview/
Ford,Transit-150,2019,29165,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/766288555/overview/
Ford,Transit-150,2019,31851,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/766941272/overview/
Ford,Transit-150,2019,29140,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/766532363/overview/
Ford,Transit-150,2019,35625,CargoVan,Base,E85 Flex Fuel,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/752790124/overview/
Ford,Transit-150,2018,35354,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/735444063/overview/
Ford,Transit-150,2018,30430,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/743338453/overview/
Ford,Transit-150,2018,32500,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/754055724/overview/
Ford,Transit-150,2018,28920,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic,3.7L V6 24V MPFI DOHC,http://cars.com/vehicledetail/detail/750310496/overview/
Ford,Transit-150,2018,28634,CargoVan,Base,Gasoline,,,RWD,6-Speed Automatic with Overdrive,3.7L V6 Ti-VCT 24V,http://cars.com/vehicledetail/detail/730677457/overview/
Ford,Transit-150,2017,39400,CargoVan,XLT,E85 Flex Fuel,14,18,RWD,Shiftable Automatic,6 Cylinder,http://cars.com/vehicledetail/detail/704703627/overview/
